"pmid"	"text"	"hit"
"30905508"	"Cut-and-Run: A Distinct Mechanism by which V(D)J Recombination Causes Genome Instability.V(D)J recombination is essential to generate antigen receptor diversity but is also a potent cause of genome instability. Many chromosome alterations that result from aberrant V(D)J recombination involve breaks at single recombination signal sequences (RSSs). A long-standing question, however, is how such breaks occur. Here, we show that the genomic DNA that is excised during recombination, the excised signal circle (ESC), forms a complex with the recombinase proteins to efficiently catalyze breaks at single RSSs both in vitro and in vivo. Following cutting, the RSS is released while the ESC-recombinase complex remains intact to potentially trigger breaks at further RSSs. Consistent with this, chromosome breaks at RSSs increase markedly in the presence of the ESC. Notably, these breaks co-localize with those found in acute lymphoblastic leukemia patients and occur at key cancer driver genes. We have named this reaction ""cut-and-run"" and suggest that it could be a significant cause of lymphocyte genome instability."	0
"31995728"	"AMPK, a Regulator of Metabolism and Autophagy, Is Activated by Lysosomal Damage via a Novel Galectin-Directed Ubiquitin Signal Transduction System.AMPK is a central regulator of metabolism and autophagy. Here we show how lysosomal damage activates AMPK. This occurs via a hitherto unrecognized signal transduction system whereby cytoplasmic sentinel lectins detect membrane damage leading to ubiquitination responses. Absence of Galectin 9 (Gal9) or loss of its capacity to recognize lumenal glycans exposed during lysosomal membrane damage abrogate such ubiquitination responses. Proteomic analyses with APEX2-Gal9 have revealed global changes within the Gal9 interactome during lysosomal damage. Gal9 association with lysosomal glycoproteins increases whereas interactions with a newly identified Gal9 partner, deubiquitinase USP9X, diminishes upon lysosomal injury. In response to damage, Gal9 displaces USP9X from complexes with TAK1 and promotes K63 ubiquitination of TAK1 thus activating AMPK on damaged lysosomes. This triggers autophagy and contributes to autophagic control of membrane-damaging microbe Mycobacterium tuberculosis. Thus, galectin and ubiquitin systems converge to activate AMPK and autophagy during endomembrane homeostasis."	1
"32354837"	"4E-T-bound mRNAs are stored in a silenced and deadenylated form.Human 4E-T is an eIF4E-binding protein (4E-BP) present in processing (P)-bodies that represses translation and regulates decay of mRNAs destabilized by AU-rich elements and microRNAs (miRNAs). However, the underlying regulatory mechanisms are still unclear. Here, we show that upon mRNA binding 4E-T represses translation and promotes deadenylation via the recruitment of the CCR4-NOT deadenylase complex. The interaction with CCR4-NOT is mediated by previously uncharacterized sites in the middle region of 4E-T. Importantly, mRNA decapping and decay are inhibited by 4E-T and the deadenylated target is stored in a repressed form. Inhibition of mRNA decapping requires the interaction of 4E-T with the cap-binding proteins eIF4E/4EHP. We further show that regulation of decapping by 4E-T participates in mRNA repression by the miRNA effector protein TNRC6B and that 4E-T overexpression interferes with tristetraprolin (TTP)- and NOT1-mediated mRNA decay. Thus, we postulate that 4E-T modulates 5'-to-3' decay by swapping the fate of a deadenylated mRNA from complete degradation to storage. Our results provide insight into the mechanism of mRNA storage that controls localized translation and mRNA stability in P-bodies."	1
"32101737"	"Spinal Motoneuron TMEM16F Acts at C-boutons to Modulate Motor Resistance and Contributes to ALS Pathogenesis.Neuronal Ca<sup>2+</sup> entry elicited by electrical activity contributes to information coding via activation of K<sup>+</sup> and Cl<sup>-</sup> channels. While Ca<sup>2+</sup>-dependent K<sup>+</sup> channels have been extensively studied, the molecular identity and role of Ca<sup>2+</sup>-activated Cl<sup>-</sup> channels (CaCCs) remain unclear. Here, we demonstrate that TMEM16F governs a Ca<sup>2+</sup>-activated Cl<sup>-</sup> conductance in spinal motoneurons. We show that TMEM16F is expressed in synaptic clusters facing pre-synaptic cholinergic C-boutons in α-motoneurons of the spinal cord. Mice with targeted exon deletion in Tmem16f display decreased motor performance under high-demanding tasks attributable to an increase in the recruitment threshold of fast α-motoneurons. Remarkably, loss of TMEM16F function in a mouse model of amyotrophic lateral sclerosis (ALS) significantly reduces expression of an activity-dependent early stress marker and muscle denervation, delays disease onset, and preserves muscular strength only in male ALS mice. Thus, TMEM16F controls motoneuron excitability and impacts motor resistance as well as motor deterioration in ALS."	0
"32738194"	"Quality Control of ER Membrane Proteins by the RNF185/Membralin Ubiquitin Ligase Complex.Misfolded proteins in the endoplasmic reticulum (ER) are degraded by ER-associated degradation (ERAD). Although ERAD components involved in degradation of luminal substrates are well characterized, much less is known about quality control of membrane proteins. Here, we analyzed the degradation pathways of two short-lived ER membrane model proteins in mammalian cells. Using a CRISPR-Cas9 genome-wide library screen, we identified an ERAD branch required for quality control of a subset of membrane proteins. Using biochemical and mass spectrometry approaches, we showed that this ERAD branch is defined by an ER membrane complex consisting of the ubiquitin ligase RNF185, the ubiquitin-like domain containing proteins TMUB1/2 and TMEM259/Membralin, a poorly characterized protein. This complex cooperates with cytosolic ubiquitin ligase UBE3C and p97 ATPase in degrading their membrane substrates. Our data reveal that ERAD branches have remarkable specificity for their membrane substrates, suggesting that multiple, perhaps combinatorial, determinants are involved in substrate selection."	1
"32698010"	"mTORC1 Signaling Controls TLR2-Mediated T-Cell Activation by Inducing TIRAP Expression.Effector, but not naïve, T cells are activated by toll-like receptor-2 (TLR2) stimulation, leading to cytokine production and proliferation. We found that the differential response is attributable to the lack of expression of the adaptor protein TIRAP in naive T cells. TIRAP expression is induced upon T-cell receptor (TCR) stimulation and sustained by strong interleukin-2 (IL-2) signals. Expression of TIRAP requires TCR- and IL-2-induced mTORC1 activation. TLR2 stimulation induced the activation of nuclear factor κB (NF-κB) and ERK, leading to much higher production of interferon-γ (IFN-γ) by T helper 1 (Th1) cells cultured in a high concentration of IL-2 than by those cultured in a low concentration of IL-2. In contrast, TLR2 stimulation induces mTORC1 activation through TIRAP, which is essential for TLR2-mediated IFN-γ production. These data demonstrate that the mTORC1 signal confers the response to TLR2 signaling by inducing TIRAP expression and that the TIRAP-mTORC1 axis is critical for TLR2-mediated IFN-γ production by effector T cells."	1
"30661983"	"RIM and RIM-BP Form Presynaptic Active-Zone-like Condensates via Phase Separation.Both the timing and kinetics of neurotransmitter release depend on the positioning of clustered Ca<sup>2+</sup> channels in active zones to docked synaptic vesicles on presynaptic plasma membranes. However, how active zones form is not known. Here, we show that RIM and RIM-BP, via specific multivalent bindings, form dynamic and condensed assemblies through liquid-liquid phase separation. Voltage-gated Ca<sup>2+</sup> channels (VGCCs), via C-terminal-tail-mediated direct binding to both RIM and RIM-BP, can be enriched to the RIM and RIM-BP condensates. We further show that RIM and RIM-BP, together with VGCCs, form dense clusters on the supported lipid membrane bilayers via phase separation. Therefore, RIMs and RIM-BPs are plausible organizers of active zones, and the formation of RIM and RIM-BP condensates may cluster VGCCs into nano- or microdomains and position the clustered Ca<sup>2+</sup> channels with Ca<sup>2+</sup> sensors on docked vesicles for efficient and precise synaptic transmissions."	0
"32075757"	"A Dynamic Folded Hairpin Conformation Is Associated with α-Globin Activation in Erythroid Cells.We investigate the three-dimensional (3D) conformations of the α-globin locus at the single-allele level in murine embryonic stem cells (ESCs) and erythroid cells, combining polymer physics models and high-resolution Capture-C data. Model predictions are validated against independent fluorescence in situ hybridization (FISH) data measuring pairwise distances, and Tri-C data identifying three-way contacts. The architecture is rearranged during the transition from ESCs to erythroid cells, associated with the activation of the globin genes. We find that in ESCs, the spatial organization conforms to a highly intermingled 3D structure involving non-specific contacts, whereas in erythroid cells the α-globin genes and their enhancers form a self-contained domain, arranged in a folded hairpin conformation, separated from intermingling flanking regions by a thermodynamic mechanism of micro-phase separation. The flanking regions are rich in convergent CTCF sites, which only marginally participate in the erythroid-specific gene-enhancer contacts, suggesting that beyond the interaction of CTCF sites, multiple molecular mechanisms cooperate to form an interacting domain."	0
"32571872"	"The RNA-binding protein PTBP1 promotes ATPase-dependent dissociation of the RNA helicase UPF1 to protect transcripts from nonsense-mediated mRNA decay.The sequence-specific RNA-binding proteins PTBP1 (polypyrimidine tract-binding protein 1) and HNRNP L (heterogeneous nuclear ribonucleoprotein L) protect mRNAs from nonsense-mediated decay (NMD) by preventing the UPF1 RNA helicase from associating with potential decay targets. Here, by analyzing <i>in vitro</i> helicase activity, dissociation of UPF1 from purified mRNPs, and transcriptome-wide UPF1 RNA binding, we present the mechanistic basis for inhibition of NMD by PTBP1. Unlike mechanisms of RNA stabilization that depend on direct competition for binding sites among protective RNA-binding proteins and decay factors, PTBP1 promotes displacement of UPF1 already bound to potential substrates. Our results show that PTBP1 directly exploits the tendency of UPF1 to release RNA upon ATP binding and hydrolysis. We further find that UPF1 sensitivity to PTBP1 is coordinated by a regulatory loop in domain 1B of UPF1. We propose that the UPF1 regulatory loop and protective proteins control kinetic proofreading of potential NMD substrates, presenting a new model for RNA helicase regulation and target selection in the NMD pathway."	0
"32937124"	"The Natural Compound Notopterol Binds and Targets JAK2/3 to Ameliorate Inflammation and Arthritis.The traditional Chinese medicinal herb Notopterygium incisum Ting ex H.T. Chang has anti-rheumatism activity, and a mass spectrometry assay of patients' serum after administration of the herb revealed that notopterol is the most abundant component enriched. However, the functions of notopterol and its molecular target in rheumatoid arthritis (RA) treatment remain unknown. Here, we show in different RA mouse strains that both oral and intraperitoneal administration of notopterol result in significant therapeutic effects. Mechanistically, notopterol directly binds Janus kinase (JAK)2 and JAK3 kinase domains to inhibit JAK/signal transducers and activators of transcription (JAK-STAT) activation, leading to reduced production of inflammatory cytokines and chemokines. Critically, combination therapy using both notopterol and tumor necrosis factor (TNF) blocker results in enhanced therapeutic effects compared to using TNF blocker alone. We demonstrate that notopterol ameliorates RA pathology by targeting JAK-STAT signaling, raising the possibility that notopterol could be effective in treating other diseases characterized by aberrant JAK-STAT signaling pathway."	1
