"pmid"	"text"	"hit"
"32424042"	"Lipopolysaccharide O-antigens-bacterial glycans made to measure.Lipopolysaccharides are critical components of bacterial outer membranes. The more conserved lipid A part of the lipopolysaccharide molecule is a major element in the permeability barrier imposed by the outer membrane and offers a pathogen-associated molecular pattern recognized by innate immune systems. In contrast, the long-chain O-antigen polysaccharide (O-PS) shows remarkable structural diversity and fulfills a range of functions, depending on bacterial lifestyles. O-PS production is vital for the success of clinically important Gram-negative pathogens. The biological properties and functions of O-PSs are mostly independent of specific structures, but the size distribution of O-PS chains is particularly important in many contexts. Despite the vast O-PS chemical diversity, most are produced in bacterial cells by two assembly strategies, and the different mechanisms employed in these pathways to regulate chain-length distribution are emerging. Here, we review our current understanding of the mechanisms involved in regulating O-PS chain-length distribution and discuss their impact on microbial cell biology."	0
"32268103"	"Shank2 Binds to aPKC and Controls Tight Junction Formation with Rap1 Signaling during Establishment of Epithelial Cell Polarity.Epithelial cells establish apicobasal polarity by forming tight junctions (TJs) at the apical-lateral boundary, which play fundamental roles in physiological functions. An evolutionarily conserved atypical protein kinase C (aPKC)-partitioning defective (PAR) complex functions as a platform for TJ assembly during cell polarity establishment. However, how this complex converts the spatial cues into a subsequent active unit is unclear. Here, we identify an epithelial isoform of Shank2 as a mediator of the aPKC-PAR complex. Shank2 binds to and colocalizes with aPKC at apical junctional regions of polarized epithelial cells. Shank2 knockdown results in defects in TJ formation. Mechanistically, we find that the N-terminal SPN domain is required for the junctional localization of Shank2 and binds to the active form of Rap1 small GTPase, which is involved in TJ formation. Our findings suggest that a close physical and functional relationship between aPKC and Shank2-active Rap1 signaling serves as the platform for TJ assembly to regulate epithelial cell polarity."	1
"32873579"	"p53 tetramerization: at the center of the dominant-negative effect of mutant p53.The p53 tumor suppressor functions as a tetrameric transcription factor to regulate hundreds of genes-many in a tissue-specific manner. Missense mutations in cancers in the p53 DNA-binding and tetramerization domains cement the importance of these domains in tumor suppression. p53 mutants with a functional tetramerization domain form mixed tetramers, which in some cases have dominant-negative effects (DNE) that inactivate wild-type p53. DNA damage appears necessary but not sufficient for DNE, indicating that upstream signals impact DNE. Posttranslational modifications and protein-protein interactions alter p53 tetramerization affecting transcription, stability, and localization. These regulatory components limit the dominant-negative effects of mutant p53 on wild-type p53 activity. A deeper understanding of the molecular basis for DNE may drive development of drugs that release WT p53 and allow tumor suppression."	0
"31836388"	"Paradoxical Role for Wild-Type p53 in Driving Therapy Resistance in Melanoma.Metastatic melanoma is an aggressive disease, despite recent improvements in therapy. Eradicating all melanoma cells even in drug-sensitive tumors is unsuccessful in patients because a subset of cells can transition to a slow-cycling state, rendering them resistant to most targeted therapy. It is still unclear what pathways define these subpopulations and promote this resistant phenotype. In the current study, we show that Wnt5A, a non-canonical Wnt ligand that drives a metastatic, therapy-resistant phenotype, stabilizes the half-life of p53 and uses p53 to initiate a slow-cycling state following stress (DNA damage, targeted therapy, and aging). Inhibiting p53 blocks the slow-cycling phenotype and sensitizes melanoma cells to BRAF/MEK inhibition. In vivo, this can be accomplished with a single dose of p53 inhibitor at the commencement of BRAF/MEK inhibitor therapy. These data suggest that taking the paradoxical approach of inhibiting rather than activating wild-type p53 may sensitize previously resistant metastatic melanoma cells to therapy."	0
"32268099"	"PGC1α Controls Sucrose Taste Sensitization in Drosophila.Perceived palatability of food controls caloric intake. Sweet taste is the primary means of detecting the carbohydrate content of food. Surprisingly, sweet taste sensitivity is responsive to extrinsic factors like diet, and this occurs by unknown mechanisms. Here, we describe an unbiased proteomic investigation into sweet taste sensitivity in the fruit fly. We identify a dopamine/cyclic AMP (cAMP)/CREB axis acting within sweet taste neurons that controls taste perception but is largely dispensable for acute taste transduction. This pathway modulates sweet taste perception in response to both sensory- and nutrient-restricted diets and converges on PGC1α, a critical regulator of metabolic health and lifespan. By electrophysiology, we found that enhanced sucrose taste sensitivity was the result of heightened sweet taste intensity and that PGC1α was both necessary and sufficient for this effect. Together, we provide the first molecular insight into how diet-induced taste perception is regulated within the sweet taste neuron."	0
"32023458"	"Methylglyoxal Scavengers Resensitize KRAS-Mutated Colorectal Tumors to Cetuximab.The use of cetuximab anti-epidermal growth factor receptor (anti-EGFR) antibodies has opened the era of targeted and personalized therapy in colorectal cancer (CRC). Poor response rates have been unequivocally shown in mutant KRAS and are even observed in a majority of wild-type KRAS tumors. Therefore, patient selection based on mutational profiling remains problematic. We previously identified methylglyoxal (MGO), a by-product of glycolysis, as a metabolite promoting tumor growth and metastasis. Mutant KRAS cells under MGO stress show AKT-dependent survival when compared with wild-type KRAS isogenic CRC cells. MGO induces AKT activation through phosphatidylinositol 3-kinase (PI3K)/mammalian target of rapamycin 2 (mTORC2) and Hsp27 regulation. Importantly, the sole induction of MGO stress in sensitive wild-type KRAS cells renders them resistant to cetuximab. MGO scavengers inhibit AKT and resensitize KRAS-mutated CRC cells to cetuximab in vivo. This study establishes a link between MGO and AKT activation and pinpoints this oncometabolite as a potential target to tackle EGFR-targeted therapy resistance in CRC."	0
"32130902"	"Innate Lymphoid Cells Play a Pathogenic Role in Pericarditis.We find that cardiac group 2 innate lymphoid cells (ILC2s) are essential for the development of IL-33-induced eosinophilic pericarditis. We show a pathogenic role for ILC2s in cardiac inflammation, in which ILC2s activated by IL-33 drive the development of eosinophilic pericarditis in collaboration with cardiac fibroblasts. ILCs, not T and B cells, are required for the development of pericarditis. ILC2s transferred to the heart of Rag2<sup>-/-</sup>Il2rg<sup>-/-</sup> mice restore their susceptibility to eosinophil infiltration. Moreover, ILC2s direct cardiac fibroblasts to produce eotaxin-1. We also find that eosinophils reside in the mediastinal cavity and that eosinophils transferred to the mediastinal cavity of eosinophil-deficient ΔdblGATA1 mice following IL-33 treatment migrate to the heart. Thus, the serous cavities may serve as a reservoir of cardiac-infiltrating eosinophils. In humans, patients with pericarditis show higher amounts of ILCs in pericardial fluid than do healthy controls and patients with other cardiac diseases. We demonstrate that ILCs play a critical role in pericarditis."	0
"32783943"	"Acetylation Stabilizes Phosphoglycerate Dehydrogenase by Disrupting the Interaction of E3 Ligase RNF5 to Promote Breast Tumorigenesis.Phosphoglycerate dehydrogenase (PHGDH) is the first enzyme in the serine synthesis pathway in which it is also the rate-limiting enzyme. It is significantly upregulated in many cancers, especially breast cancer. However, the posttranslational mechanism of PHGDH upregulation in breast cancer is unknown. In this study, we find that RNF5, an E3 ubiquitin ligase, is essential for the degradation of PHGDH protein. PHGDH is degraded by RNF5 to prevent the proliferation of breast cancer cells. The acetylation of PHGDH at K58 is able to disrupt the interaction of RNF5-PHGDH and promote the proliferation of breast cancer cells. Tip60 and SIRT2 regulate the reversible acetylation modification of PHGDH in response to glucose alteration. Moreover, PHGDH is significantly upregulated in samples of human breast cancer and is associated with decreased RNF5 expression. This implies a potential therapeutic target through the interference interaction of PHGDH-RNF5 to degrade PHGDH in breast cancer."	1
"31585693"	"A Diversity of Selective Autophagy Receptors Determines the Specificity of the Autophagy Pathway.The clearance of surplus, broken, or dangerous components is key for maintaining cellular homeostasis. The failure to remove protein aggregates, damaged organelles, or intracellular pathogens leads to diseases, including neurodegeneration, cancer, and infectious diseases. Autophagy is the evolutionarily conserved pathway that sequesters cytoplasmic components in specialized vesicles, autophagosomes, which transport the cargo to the degradative compartments (vacuoles or lysosomes). Research during the past few decades has elucidated how autophagosomes engulf their substrates selectively. This type of autophagy involves a growing number of selective autophagy receptors (SARs) (e.g., Atg19 in yeasts, p62/SQSTM1 in mammals), which bind to the cargo and simultaneously engage components of the core autophagic machinery via direct interaction with the ubiquitin-like proteins (UBLs) of the Atg8/LC3/GABARAP family and adaptors, Atg11 (in yeasts) or FIP200 (in mammals). In this Review, we critically discuss the biology of the SARs with special emphasis on their interactions with UBLs."	0
"32763224"	"Unwinding the Role of FACT in Cas9-based Genome Editing.In a recent issue of Molecular Cell, Wang et al. (2020) employ unbiased proteomics approaches and live-cell imaging to reveal a key role for the histone chaperone complex FACT (SPT16 and SSRP1) in governing Cas9 turnover at the DNA target site during genome and epigenome editing."	0
"31733992"	"An mTORC1-to-CDK1 Switch Maintains Autophagy Suppression during Mitosis.Since nuclear envelope breakdown occurs during mitosis in metazoan cells, it has been proposed that macroautophagy must be inhibited to maintain genome integrity. However, repression of macroautophagy during mitosis remains controversial and mechanistic detail limited to the suggestion that CDK1 phosphorylates VPS34. Here, we show that initiation of macroautophagy, measured by the translocation of the ULK complex to autophagic puncta, is repressed during mitosis, even when mTORC1 is inhibited. Indeed, mTORC1 is inactive during mitosis, reflecting its failure to localize to lysosomes due to CDK1-dependent RAPTOR phosphorylation. While mTORC1 normally represses autophagy via phosphorylation of ULK1, ATG13, ATG14, and TFEB, we show that the mitotic phosphorylation of these autophagy regulators, including at known repressive sites, is dependent on CDK1 but independent of mTOR. Thus, CDK1 substitutes for inhibited mTORC1 as the master regulator of macroautophagy during mitosis, uncoupling autophagy regulation from nutrient status to ensure repression of macroautophagy during mitosis."	1
