"pmid"	"text"	"hit"
"32424038"	"CofActor: A light- and stress-gated optogenetic clustering tool to study disease-associated cytoskeletal dynamics in living cells.The hallmarks of neurodegenerative diseases, including neural fibrils, reactive oxygen species, and cofilin-actin rods, present numerous challenges in the development of <i>in vivo</i> diagnostic tools. Biomarkers such as β-amyloid (Aβ) fibrils and Tau tangles in Alzheimer's disease are accessible only via invasive cerebrospinal fluid assays, and reactive oxygen species can be fleeting and challenging to monitor <i>in vivo</i> Although remaining a challenge for <i>in vivo</i> detection, the protein-protein interactions underlying these disease-specific biomarkers present opportunities for the engineering of <i>in vitro</i> pathology-sensitive biosensors. These tools can be useful for investigating early stage events in neurodegenerative diseases in both cellular and animal models and may lead to clinically useful reagents. Here, we report a light- and cellular stress-gated protein switch based on cofilin-actin rod formation, occurring in stressed neurons in the Alzheimer's disease brain and following ischemia. By coupling the stress-sensitive cofilin-actin interaction with the light-responsive Cry2-CIB blue-light switch, referred to hereafter as the CofActor, we accomplished both light- and energetic/oxidative stress-gated control of this interaction. Site-directed mutagenesis of both cofilin and actin revealed residues critical for sustaining or abrogating the light- and stress-gated response. Of note, the switch response varied depending on whether cellular stress was generated via glycolytic inhibition or by both glycolytic inhibition and azide-induced ATP depletion. We also demonstrate light- and cellular stress-gated switch function in cultured hippocampal neurons. CofActor holds promise for the tracking of early stage events in neurodegeneration and for investigating actin's interactions with other proteins during cellular stress."	0
"32433973"	"Ubiquitylation of the ER-Shaping Protein Lunapark via the CRL3<sup>KLHL12</sup> Ubiquitin Ligase Complex.Cullin-RING ligases (CRLs) control key cellular processes by promoting ubiquitylation of a multitude of soluble cytosolic and nuclear proteins. Subsets of CRL complexes are recruited and activated locally at cellular membranes; however, few CRL functions and substrates at these distinct cellular compartments are known. Here, we use a proteomic screen to identify proteins that are ubiquitylated at cellular membranes and found that Lunapark, an endoplasmic reticulum (ER)-shaping protein localized to ER three-way junctions, is ubiquitylated by the CRL3<sup>KLHL12</sup> ubiquitin ligase. We demonstrate that Lunapark interacts with mechanistic target of rapamycin complex-1 (mTORC1), a central cellular regulator that coordinates growth and metabolism with environmental conditions. We show that mTORC1 binds Lunapark specifically at three-way junctions, and lysosomes, where mTORC1 is activated, make contact with three-way junctions where Lunapark resides. Inhibition of Lunapark ubiquitylation results in neurodevelopmental defects indicating that KLHL12-dependent ubiquitylation of Lunapark is required for normal growth and development."	1
"32101747"	"Class IIa Histone Deacetylases Drive Toll-like Receptor-Inducible Glycolysis and Macrophage Inflammatory Responses via Pyruvate Kinase M2.Histone deacetylases (HDACs) drive innate immune cell-mediated inflammation. Here we identify class IIa HDACs as key molecular links between Toll-like receptor (TLR)-inducible aerobic glycolysis and macrophage inflammatory responses. A proteomic screen identified the glycolytic enzyme pyruvate kinase M isoform 2 (Pkm2) as a partner of proinflammatory Hdac7 in murine macrophages. Myeloid-specific Hdac7 overexpression in transgenic mice amplifies lipopolysaccharide (LPS)-inducible lactate and promotes a glycolysis-associated inflammatory signature. Conversely, pharmacological or genetic targeting of Hdac7 and other class IIa HDACs attenuates LPS-inducible glycolysis and accompanying inflammatory responses in macrophages. We show that an Hdac7-Pkm2 complex acts as an immunometabolism signaling hub, whereby Pkm2 deacetylation at lysine 433 licenses its proinflammatory functions. Disrupting this complex suppresses inflammatory responses in vitro and in vivo. Class IIa HDACs are thus pivotal intermediates connecting TLR-inducible glycolysis to inflammation via Pkm2."	1
"30904392"	"Protein Kinase C Quality Control by Phosphatase PHLPP1 Unveils Loss-of-Function Mechanism in Cancer.Protein kinase C (PKC) isozymes function as tumor suppressors in increasing contexts. In contrast to oncogenic kinases, whose function is acutely regulated by transient phosphorylation, PKC is constitutively phosphorylated following biosynthesis to yield a stable, autoinhibited enzyme that is reversibly activated by second messengers. Here, we report that the phosphatase PHLPP1 opposes PKC phosphorylation during maturation, leading to the degradation of aberrantly active species that do not become autoinhibited. Cancer-associated hotspot mutations in the pseudosubstrate of PKCβ that impair autoinhibition result in dephosphorylated and unstable enzymes. Protein-level analysis reveals that PKCα is fully phosphorylated at the PHLPP site in over 5,000 patient tumors, with higher PKC levels correlating (1) inversely with PHLPP1 levels and (2) positively with improved survival in pancreatic adenocarcinoma. Thus, PHLPP1 provides a proofreading step that maintains the fidelity of PKC autoinhibition and reveals a prominent loss-of-function mechanism in cancer by suppressing the steady-state levels of PKC."	1
"32807902"	"p27 controls Ragulator and mTOR activity in amino acid-deprived cells to regulate the autophagy-lysosomal pathway and coordinate cell cycle and cell growth.Autophagy is a catabolic process whereby cytoplasmic components are degraded within lysosomes, allowing cells to maintain energy homeostasis during nutrient depletion. Several studies reported that the CDK inhibitor p27<sup>Kip1</sup> promotes starvation-induced autophagy by an unknown mechanism. Here we find that p27 controls autophagy via an mTORC1-dependent mechanism in amino acid-deprived cells. During prolonged starvation, a fraction of p27 is recruited to lysosomes, where it interacts with LAMTOR1, a component of the Ragulator complex required for mTORC1 activation. Binding of p27 to LAMTOR1 prevents Ragulator assembly and mTORC1 activation, promoting autophagy. Conversely, p27<sup>-/-</sup> cells exhibit elevated mTORC1 signalling as well as impaired lysosomal activity and autophagy. This is associated with cytoplasmic sequestration of TFEB, preventing induction of the lysosomal genes required for lysosome function. LAMTOR1 silencing or mTOR inhibition restores autophagy and induces apoptosis in p27<sup>-/-</sup> cells. Together, these results reveal a direct coordinated regulation between the cell cycle and cell growth machineries."	1
"32679077"	"Acetylation-Dependent Deubiquitinase OTUD3 Controls MAVS Activation in Innate Antiviral Immunity.Accurate regulation of innate immunity is necessary for the host to efficiently respond to invading pathogens and avoid excessive harmful immune pathology. Here we identified OTUD3 as an acetylation-dependent deubiquitinase that restricts innate antiviral immune signaling. OTUD3 deficiency in mice results in enhanced innate immunity, a diminished viral load, and morbidity. OTUD3 directly hydrolyzes lysine 63 (Lys63)-linked polyubiquitination of MAVS and thus shuts off innate antiviral immune response. Notably, the catalytic activity of OTUD3 relies on acetylation of its Lys129 residue. In response to virus infection, the acetylated Lys129 is removed by SIRT1, which promptly inactivates OTUD3 and thus allows timely induction of innate antiviral immunity. Importantly, acetyl-OTUD3 levels are inversely correlated with IFN-β expression in influenza patients. These findings establish OTUD3 as a repressor of MAVS and uncover a previously unknown regulatory mechanism by which the catalytic activity of OTUD3 is tightly controlled to ensure timely activation of antiviral defense."	1
"32783940"	"FOXK1 Participates in DNA Damage Response by Controlling 53BP1 Function.53BP1 plays a central role in dictating DNA repair choice between non-homologous end joining (NHEJ) and homologous recombination (HR), which is important for the sensitivity to poly(ADP-ribose) polymerase inhibitors (PARPis) of BRCA1-deficient cancers. In this study, we show that FOXK1 associates with 53BP1 and regulates 53BP1-dependent functions. FOXK1-53BP1 interaction is significantly enhanced upon DNA damage during the S phase in an ATM/CHK2-dependent manner, which reduces the association of 53BP1 with its downstream factors RIF1 and PTIP. Depletion of FOXK1 impairs DNA repair and induces compromised cell survival upon DNA damage. Overexpression of FOXK1 diminishes 53BP1 foci formation, which leads to resistance to PARPis and elevation of HR in BRCA1-deficient cells and decreased telomere fusion in TRF2-depleted cells. Collectively, our findings demonstrate that FOXK1 negatively regulates 53BP1 function by inhibiting 53BP1 localization to sites of DNA damage, which alters the DSB-induced protein complexes centering on 53BP1 and thus influences DNA repair choice."	1
"31981475"	"The G3BP1-Family-USP10 Deubiquitinase Complex Rescues Ubiquitinated 40S Subunits of Ribosomes Stalled in Translation from Lysosomal Degradation.Ribosome-associated quality control (RQC) purges aberrant mRNAs and nascent polypeptides in a multi-step molecular process initiated by the E3 ligase ZNF598 through sensing of ribosomes collided at aberrant mRNAs and monoubiquitination of distinct small ribosomal subunit proteins. We show that G3BP1-family-USP10 complexes are required for deubiquitination of RPS2, RPS3, and RPS10 to rescue modified 40S subunits from programmed degradation. Knockout of USP10 or G3BP1 family proteins increased lysosomal ribosomal degradation and perturbed ribosomal subunit stoichiometry, both of which were rescued by a single K214R substitution of RPS3. While the majority of RPS2 and RPS3 monoubiquitination resulted from ZNF598-dependent sensing of ribosome collisions initiating RQC, another minor pathway contributed to their monoubiquitination. G3BP1 family proteins have long been considered RNA-binding proteins, however, our results identified 40S subunits and associated mRNAs as their predominant targets, a feature shared by stress granules to which G3BP1 family proteins localize under stress."	1
"32023461"	"Wnt3a Stimulation Promotes Primary Ciliogenesis through β-Catenin Phosphorylation-Induced Reorganization of Centriolar Satellites.Primary cilium is an antenna-like microtubule-based cellular sensing structure. Abnormal regulation of the dynamic assembly and disassembly cycle of primary cilia is closely related to ciliopathy and cancer. The Wnt signaling pathway plays a major role in embryonic development and tissue homeostasis, and defects in Wnt signaling are associated with a variety of human diseases, including cancer. In this study, we provide direct evidence of Wnt3a-induced primary ciliogenesis, which includes a continuous pathway showing that the stimulation of Wnt3a, a canonical Wnt ligand, promotes the generation of β-catenin p-S47 epitope by CK1δ, and these events lead to the reorganization of centriolar satellites resulting in primary ciliogenesis. We have also confirmed the application of our findings in MCF-7/ADR cells, a multidrug-resistant tumor cell model. Thus, our data provide a Wnt3a-induced primary ciliogenesis pathway and may provide a clue on how to overcome multidrug resistance in cancer treatment."	1
"32049003"	"A Requirement for Argonaute 4 in Mammalian Antiviral Defense.While interferon (IFN) responses are critical for mammalian antiviral defense, induction of antiviral RNA interference (RNAi) is evident. To date, individual functions of the mammalian RNAi and micro RNA (miRNA) effector proteins Argonautes 1-4 (AGO1-AGO4) during virus infection remain undetermined. AGO2 was recently implicated in mammalian antiviral defense, so we examined antiviral activity of AGO1, AGO3, or AGO4 in IFN-competent immune cells. Only AGO4-deficient cells are hyper-susceptible to virus infection. AGO4 antiviral function is both IFN dependent and IFN independent, since AGO4 promotes IFN but also maintains antiviral capacity following prevention of IFN signaling or production. We identified AGO-loaded virus-derived short interfering RNAs (vsiRNAs), a molecular marker of antiviral RNAi, in macrophages infected with influenza or influenza lacking the IFN and RNAi suppressor NS1, which are uniquely diminished without AGO4. Importantly, AGO4-deficient influenza-infected mice have significantly higher burden and viral titers in vivo. Together, our data assign an essential role for AGO4 in mammalian antiviral defense."	0
