"pmid"	"text"	"hit"
"32580946"	"Muscarinic-dependent phosphorylation of the cardiac ryanodine receptor by protein kinase G is mediated by PI3K-AKT-nNOS signaling.Post-translational modifications of proteins involved in calcium handling in myocytes, such as the cardiac ryanodine receptor (RyR2), critically regulate cardiac contractility. Recent studies have suggested that phosphorylation of RyR2 by protein kinase G (PKG) might contribute to the cardioprotective effects of cholinergic stimulation. However, the specific mechanisms underlying these effects remain unclear. Here, using murine ventricular myocytes, immunoblotting, proximity ligation as-says, and nitric oxide imaging, we report that phosphorylation of Ser-2808 in RyR2 induced by the muscarinic receptor agonist carbachol is mediated by a signaling axis comprising phosphoinositide 3-phosphate kinase, Akt Ser/Thr kinase, nitric oxide synthase 1, nitric oxide, soluble guanylate cyclase, cyclic GMP (cGMP), and PKG. We found that this signaling pathway is compartmentalized in myocytes, as it was distinct from atrial natriuretic peptide receptor-cGMP-PKG-RyR2 Ser-2808 signaling and independent of muscarinic-induced phosphorylation of Ser-239 in vasodilator-stimulated phosphoprotein. These results provide detailed insights into muscarinic-induced PKG signaling and the mediators that regulate cardiac RyR2 phosphorylation critical for cardiovascular function."	1
"32610129"	"Angiocrine Sphingosine-1-Phosphate Activation of S1PR2-YAP Signaling Axis in Alveolar Type II Cells Is Essential for Lung Repair.Lung alveolar epithelium is composed of alveolar type I (AT1) and type II (AT2) cells. AT1 cells mediate gas exchange, whereas AT2 cells act as progenitor cells to repair injured alveoli. Lung microvascular endothelial cells (LMVECs) play a crucial but still poorly understood role in regulating alveolar repair. Here, we studied the role of the LMVEC-derived bioactive lipid sphingosine-1-phosphate (S1P) in promoting alveolar repair using mice with endothelial-specific deletion of sphingosine kinase 1 (Sphk1), the key enzyme promoting S1P generation. These mutant lungs developed airspace-enlargement lesions and exhibited a reduced number of AT1 cells after Pseudomonas-aeruginosa-induced lung injury. We demonstrated that S1P released by LMVECs acted via its receptor, S1PR2, on AT2 cells and induced nuclear translocation of yes-associated protein (YAP), a regulator of AT2 to AT1 transition. Thus, angiocrine S1P released after injury acts via the S1PR2-YAP signaling axis on AT2 cells to promote AT2 to AT1 differentiation required for alveolar repair."	1
"32587090"	"The WD40-repeat protein WDR-48 promotes the stability of the deubiquitinating enzyme USP-46 by inhibiting its ubiquitination and degradation.Ubiquitination is a reversible post-translational modification that has emerged as a critical regulator of synapse development and function. However, the mechanisms that regulate the deubiquitinating enzymes (DUBs) responsible for the removal of ubiquitin from target proteins are poorly understood. We have previously shown that the DUB ubiquitin-specific protease 46 (USP-46) removes ubiquitin from the glutamate receptor GLR-1 and regulates its trafficking and degradation in <i>Caenorhabditis elegans</i> We found that the WD40-repeat proteins WDR-20 and WDR-48 bind and stimulate the catalytic activity of USP-46. Here, we identified another mechanism by which WDR-48 regulates USP-46. We found that increased expression of WDR-48, but not WDR-20, promotes USP-46 abundance in mammalian cells in culture and in <i>C. elegans</i> neurons <i>in vivo</i> Inhibition of the proteasome increased USP-46 abundance, and this effect was nonadditive with increased WDR-48 expression. We found that USP-46 is ubiquitinated and that expression of WDR-48 reduces the levels of ubiquitin-USP-46 conjugates and increases the <i>t</i><sub>1/2</sub> of USP-46. A point-mutated WDR-48 variant that disrupts binding to USP-46 was unable to promote USP-46 abundance <i>in vivo</i> Finally, siRNA-mediated knockdown of <i>wdr48</i> destabilizes USP46 in mammalian cells. Together, these results support a model in which WDR-48 binds and stabilizes USP-46 protein levels by preventing the ubiquitination and degradation of USP-46 in the proteasome. Given that a large number of USPs interact with WDR proteins, we propose that stabilization of DUBs by their interacting WDR proteins may be a conserved and widely used mechanism that controls DUB availability and function."	1
"30824372"	"P-TEFb Activation by RBM7 Shapes a Pro-survival Transcriptional Response to Genotoxic Stress.DNA damage response (DDR) involves dramatic transcriptional alterations, the mechanisms of which remain ill defined. Here, we show that following genotoxic stress, the RNA-binding motif protein 7 (RBM7) stimulates RNA polymerase II (Pol II) transcription and promotes cell viability by activating the positive transcription elongation factor b (P-TEFb) via its release from the inhibitory 7SK small nuclear ribonucleoprotein (7SK snRNP). This is mediated by activation of p38<sup>MAPK</sup>, which triggers enhanced binding of RBM7 with core subunits of 7SK snRNP. In turn, P-TEFb relocates to chromatin to induce transcription of short units, including key DDR genes and multiple classes of non-coding RNAs. Critically, interfering with the axis of RBM7 and P-TEFb provokes cellular hypersensitivity to DNA-damage-inducing agents due to activation of apoptosis. Our work uncovers the importance of stress-dependent stimulation of Pol II pause release, which enables a pro-survival transcriptional response that is crucial for cell fate upon genotoxic insult."	1
"31173721"	"A Nutrition-Longevity Tradeoff Enforced by Innate Immunity.Dietary restriction (DR) extends lifespan in multiple animal species, but the underlying molecular mechanisms remain poorly understood. A recent study published in Cell Metabolism by Wu et al. (2019) shows that DR represses an evolutionarily conserved p38 MAPK pathway involved in innate immunity, leading to diminished expression of p38 MAPK-regulated genes and extended lifespan."	0
"32492431"	"Cas12a Base Editors Induce Efficient and Specific Editing with Low DNA Damage Response.The advent of base editors (BEs) holds great potential for correcting pathogenic-related point mutations to treat relevant diseases. However, Cas9 nickase (nCas9)-derived BEs lead to DNA double-strand breaks, which can trigger unwanted DNA damage response (DDR). Here, we show that the original version of catalytically dead Cas12a (dCas12a)-conjugated BEs induce a basal level of DNA breaks and minimally activate DDR proteins, including H2AX, ATM, ATR, and p53. By fusing dCas12a with engineered human apolipoprotein B mRNA editing enzyme, catalytic polypeptide-like 3A (APOBEC3A), we further develop the BEACON (base editing induced by human APOBEC3A and Cas12a without DNA break) system to achieve enhanced deamination efficiency and editing specificity. Efficient C-to-T editing is achieved by BEACON in mammalian cells at levels comparable to AncBE4max, with only low levels of DDR and minimal RNA off-target mutations. Importantly, BEACON induces in vivo base editing in mouse embryos, and targeted C-to-T conversions are detected in F0 mice."	0
"32294449"	"Cell Metabolic Alterations due to Mcph1 Mutation in Microcephaly.A distinctive feature of neocortical development is the highly coordinated production of different progenitor cell subtypes, which are critical for ensuring adequate neurogenic outcome and the development of normal neocortical size. To further understand the mechanisms that underlie neocortical growth, we focused our studies on the microcephaly gene Mcph1, and we report here that Mcph1 (1) exerts its functions in rapidly dividing apical radial glial cells (aRGCs) during mouse neocortical development stages that precede indirect neurogenesis; (2) is expressed at mitochondria; and (3) controls the proper proliferation and survival of RGCs, potentially through crosstalk with cellular metabolic pathways involving the stimulation of mitochondrial activity via VDAC1/GRP75 and AKT/HK2/VDAC1 and glutaminolysis via ATF4/PCK2. We currently report the description of a MCPH-gene implication in the interplay between bioenergetic pathways and neocortical growth, thus pointing to alterations of cellular metabolic pathways, in particular glutaminolysis, as a possible cause of microcephalic pathogenesis."	1
"32561545"	"Human RTEL1 associates with Poldip3 to facilitate responses to replication stress and R-loop resolution.RTEL1 helicase is a component of DNA repair and telomere maintenance machineries. While RTEL1's role in DNA replication is emerging, how RTEL1 preserves genomic stability during replication remains elusive. Here we used a range of proteomic, biochemical, cell, and molecular biology and gene editing approaches to provide further insights into potential role(s) of RTEL1 in DNA replication and genome integrity maintenance. Our results from complementary human cell culture models established that RTEL1 and the Polδ subunit Poldip3 form a complex and are/function mutually dependent in chromatin binding after replication stress. Loss of RTEL1 and Poldip3 leads to marked R-loop accumulation that is confined to sites of active replication, enhances endogenous replication stress, and fuels ensuing genomic instability. The impact of depleting RTEL1 and Poldip3 is epistatic, consistent with our proposed concept of these two proteins operating in a shared pathway involved in DNA replication control under stress conditions. Overall, our data highlight a previously unsuspected role of RTEL1 and Poldip3 in R-loop suppression at genomic regions where transcription and replication intersect, with implications for human diseases including cancer."	1
"32553170"	"Decoding the Transcriptional Response to Ischemic Stroke in Young and Aged Mouse Brain.Ischemic stroke is a well-recognized disease of aging, yet it is unclear how the age-dependent vulnerability occurs and what are the underlying mechanisms. To address these issues, we perform a comprehensive RNA-seq analysis of aging, ischemic stroke, and their interaction in 3- and 18-month-old mice. We assess differential gene expression across injury status and age, estimate cell type proportion changes, assay the results against a range of transcriptional signatures from the literature, and perform unsupervised co-expression analysis, identifying modules of genes with varying response to injury. We uncover downregulation of axonal and synaptic maintenance genetic program, and increased activation of type I interferon (IFN-I) signaling following stroke in aged mice. Together, these results paint a picture of ischemic stroke as a complex age-related disease and provide insights into interaction of aging and stroke on cellular and molecular level."	0
"31732457"	"Regulation of Phosphoribosyl-Linked Serine Ubiquitination by Deubiquitinases DupA and DupB.The family of bacterial SidE enzymes catalyzes non-canonical phosphoribosyl-linked (PR) serine ubiquitination and promotes infectivity of Legionella pneumophila. Here, we describe identification of two bacterial effectors that reverse PR ubiquitination and are thus named deubiquitinases for PR ubiquitination (DUPs; DupA and DupB). Structural analyses revealed that DupA and SidE ubiquitin ligases harbor a highly homologous catalytic phosphodiesterase (PDE) domain. However, unlike SidE ubiquitin ligases, DupA displays increased affinity to PR-ubiquitinated substrates, which allows DupA to cleave PR ubiquitin from substrates. Interfering with DupA-ubiquitin binding switches its activity toward SidE-type ligase. Given the high affinity of DupA to PR-ubiquitinated substrates, we exploited a catalytically inactive DupA mutant to trap and identify more than 180 PR-ubiquitinated host proteins in Legionella-infected cells. Proteins involved in endoplasmic reticulum (ER) fragmentation and membrane recruitment to Legionella-containing vacuoles (LCV) emerged as major SidE targets. The global map of PR-ubiquitinated substrates provides critical insights into host-pathogen interactions during Legionella infection."	0
